,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away
0,0,1,Fri,2018-08-10,20:00,Manchester Utd,1.5,1.8,Leicester City,"74,439",Old Trafford,Andre Marriner,/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,2,1,4-3-3,4-2-3-1,11.0,8.0,2.0,5.0,12.0,27.0,648.0,702.0,26.0,14.0,17.0,12.0,9.0,13.0,36.0,14.0,4.0,2.0,5.0,4.0,20.0,18.0,68.0,65.0,2.0,0.0,0.0,1.0,0.0,0.0,David de Gea,Victor Lindelöf,Eric Bailly,Paul Pogba,Alexis Sánchez,Juan Mata,Marcus Rashford,Andreas Pereira,Fred,Luke Shaw,Matteo Darmian,Lee Grant,Romelu Lukaku,Anthony Martial,Chris Smalling,Ashley Young,Marouane Fellaini,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Demarai Gray,Kelechi Iheanacho,James Maddison,Ricardo Pereira,Harry Maguire,Daniel Amartey,Adrien Silva,Wilfred Ndidi,Danny Ward,Jonny Evans,Jamie Vardy,Marc Albrighton,Vicente Iborra,Christian Fuchs
1,1,1,Sat,2018-08-11,12:30,Newcastle Utd,1.0,2.0,Tottenham,"51,749",St. James' Park,Martin Atkinson,/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,1,2,4-4-1-1,4-3-2-1,11.0,12.0,3.0,5.0,12.0,17.0,568.0,776.0,14.0,27.0,20.0,10.0,32.0,21.0,19.0,43.0,1.0,0.0,5.0,10.0,36.0,24.0,93.0,80.0,2.0,0.0,0.0,2.0,0.0,0.0,Martin Dúbravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu,DeAndre Yedlin,Karl Darlow,Ki Sung-yueng,Fabian Schär,Salomón Rondón,Yoshinori Mutō,Javier Manquillo,Hugo Lloris,Jan Vertonghen,Davinson Sánchez,Harry Kane,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Serge Aurier,Lucas Moura,Ben Davies,Michel Vorm,Toby Alderweireld,Son Heung-min,Kyle Walker-Peters,Fernando Llorente,Mousa Dembélé
2,2,1,Sat,2018-08-11,15:00,Fulham,0.7,1.0,Crystal Palace,"24,821",Craven Cottage,Mike Dean,/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,0,2,4-3-3,4-4-2,9.0,11.0,5.0,5.0,32.0,12.0,847.0,514.0,27.0,22.0,15.0,14.0,10.0,20.0,23.0,32.0,2.0,3.0,5.0,8.0,16.0,25.0,86.0,67.0,1.0,0.0,0.0,2.0,0.0,0.0,Fabricio,Ryan Sessegnon,Calum Chambers,Kevin McDonald,Aleksandar Mitrović,Tom Cairney,André Schürrle,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Jean Seri,Sergio Rico,Neeskens Kebano,Stefan Johansen,Luciano Vietto,Timothy Fosu-Mensah,Ibrahima Cissé,Wayne Hennessey,Patrick van Aanholt,Luka Milivojević,James Tomkins,Andros Townsend,Wilfried Zaha,Mamadou Sakho,Jeffrey Schlupp,Christian Benteke,James McArthur,Aaron Wan-Bissaka,Vicente Guaita,Joel Ward,Cheikhou Kouyaté,Alexander Sørloth,Pape Souaré,Martin Kelly
3,3,1,Sat,2018-08-11,15:00,Bournemouth,2.2,1.4,Cardiff City,"10,353",Vitality Stadium,Kevin Friend,/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,2,0,4-4-2,4-1-4-1,11.0,9.0,7.0,4.0,11.0,18.0,678.0,456.0,11.0,22.0,4.0,15.0,32.0,31.0,40.0,31.0,0.0,2.0,7.0,10.0,31.0,20.0,71.0,98.0,1.0,0.0,0.0,1.0,0.0,0.0,Asmir Begović,Steve Cook,Dan Gosling,Nathan Aké,Andrew Surman,Charlie Daniels,Callum Wilson,Adam Smith,Joshua King,David Brooks,Ryan Fraser,Artur Boruc,Simon Francis,Lys Mousset,Jordon Ibe,Lewis Cook,Jermain Defoe,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Joe Ralls,Callum Paterson,Bobby Reid,Nathaniel Mendez-Laing,Sol Bamba,Junior Hoilett,Alex Smithies,Jazz Richards,Danny Ward,Josh Murphy,Greg Cunningham,Víctor Camarasa
4,4,1,Sat,2018-08-11,15:00,Watford,1.2,0.3,Brighton,"20,051",Vicarage Road Stadium,Jonathan Moss,/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,2,0,4-2-2-2,4-4-1-1,10.0,16.0,8.0,2.0,20.0,15.0,566.0,537.0,18.0,16.0,12.0,17.0,15.0,24.0,13.0,26.0,0.0,3.0,8.0,10.0,16.0,19.0,96.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,Ben Foster,Daryl Janmaat,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,José Holebas,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Isaac Success,Adam Masina,Ken Sema,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Pascal Groß,Glenn Murray,Solly March,Davy Pröpper,Bernardo,David Button,Gaëtan Bong,Beram Kayal,Yves Bissouma,Jürgen Locadia,Leon Balogun
5,5,1,Sat,2018-08-11,15:00,Huddersfield,0.3,1.9,Chelsea,"24,121",The John Smith's Stadium,Chris Kavanagh,/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,0,3,3-5-1-1,4-3-3,9.0,8.0,2.0,5.0,23.0,11.0,519.0,806.0,25.0,12.0,16.0,9.0,21.0,16.0,13.0,22.0,2.0,1.0,5.0,6.0,23.0,30.0,106.0,60.0,2.0,0.0,0.0,1.0,0.0,0.0,Ben Hamer,Terence Kongolo,Jonathan Hogg,Philip Billing,Aaron Mooy,Chris Löwe,Alex Pritchard,Steve Mounié,Mathias Jørgensen,Christopher Schindler,Florent Hadergjonaj,Jonas Lössl,Tommy Smith,Adama Diakhaby,Ramadan Sobhi,Rajiv van La Parra,Laurent Depoitre,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Ross Barkley,Pedro,Willian,César Azpilicueta,Álvaro Morata,David Luiz,Willy Caballero,Eden Hazard,Ruben Loftus-Cheek,Victor Moses,Olivier Giroud,Davide Zappacosta
6,6,1,Sat,2018-08-11,17:30,Wolves,1.0,1.0,Everton,"31,231",Molineux Stadium,Craig Pawson,/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,2,2,3-4-3,4-2-3-1,8.0,7.0,3.0,6.0,25.0,15.0,710.0,562.0,13.0,23.0,9.0,11.0,21.0,22.0,24.0,33.0,2.0,3.0,1.0,10.0,31.0,19.0,84.0,76.0,0.0,0.0,0.0,1.0,1.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Bright Enobakhare,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Jordan Pickford,Leighton Baines,Michael Keane,Phil Jagielka,Gylfi Sigurðsson,Theo Walcott,Cenk Tosun,Idrissa Gana Gueye,Morgan Schneiderlin,Séamus Coleman,Richarlison,Maarten Stekelenburg,Mason Holgate,Sandro Ramírez,Lucas Digne,Oumar Niasse,Tom Davies
7,7,1,Sun,2018-08-12,13:30,Southampton,1.1,1.4,Burnley,"30,784",St. Mary's Stadium,Graham Scott,/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,0,0,3-4-3,4-4-1-1,10.0,9.0,8.0,5.0,22.0,20.0,536.0,568.0,16.0,10.0,4.0,6.0,27.0,29.0,30.0,38.0,2.0,5.0,6.0,12.0,23.0,15.0,73.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Jack Stephens,Wesley Hoedt,Charlie Austin,Oriol Romeu,Stuart Armstrong,Mario Lemina,Ryan Bertrand,Nathan Redmond,Angus Gunn,Danny Ings,Mohamed Elyounoussi,James Ward-Prowse,Manolo Gabbiadini,Pierre Højbjerg,Joe Hart,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Jeff Hendrick,Ashley Westwood,Stephen Ward,Aaron Lennon,Tom Heaton,Charlie Taylor,Sam Vokes,Ashley Barnes,Ben Gibson,Jonathan Walters
8,8,1,Sun,2018-08-12,13:30,Liverpool,4.0,0.7,West Ham,"53,235",Anfield,Anthony Taylor,/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,4,0,4-3-3,4-2-3-1,14.0,9.0,5.0,4.0,21.0,12.0,802.0,509.0,19.0,23.0,9.0,11.0,5.0,10.0,8.0,20.0,5.0,3.0,4.0,11.0,12.0,19.0,51.0,63.0,1.0,0.0,0.0,2.0,0.0,0.0,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Andrew Robertson,Trent Alexander-Arnold,Loris Karius,Nathaniel Clyne,Fabinho,Jordan Henderson,Daniel Sturridge,Adam Lallana,Łukasz Fabiański,Fabián Balbuena,Marko Arnautović,Felipe Anderson,Mark Noble,Jack Wilshere,Angelo Ogbonna,Ryan Fredericks,Arthur Masuaku,Michail Antonio,Declan Rice,Adrián,Pablo Zabaleta,Robert Snodgrass,Pedro Obiang,Javier Hernández,Andriy Yarmolenko
9,9,1,Sun,2018-08-12,16:00,Arsenal,0.5,1.7,Manchester City,"59,934",Emirates Stadium,Michael Oliver,/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,0,2,4-2-3-1,4-2-3-1,11.0,14.0,2.0,9.0,12.0,15.0,559.0,690.0,22.0,6.0,12.0,12.0,14.0,8.0,24.0,10.0,7.0,2.0,8.0,8.0,16.0,20.0,61.0,66.0,2.0,0.0,0.0,2.0,0.0,0.0,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Aaron Ramsey,Mesut Özil,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles,Shkodran Mustafi,Mattéo Guendouzi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Alexandre Lacazette,Lucas Torreira,Stephan Lichtsteiner,Rob Holding,Ederson,Kyle Walker,John Stones,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Bernardo Silva,Benjamin Mendy,Fernandinho,Riyad Mahrez,Claudio Bravo,Vincent Kompany,Kevin De Bruyne,Leroy Sané,Nicolás Otamendi,Gabriel Jesus
10,10,2,Sat,2018-08-18,12:30,Cardiff City,0.9,1.6,Newcastle Utd,"30,720",Cardiff City Stadium,Craig Pawson,/en/matches/8b9218b2/Cardiff-City-Newcastle-United-August-18-2018-Premier-League,0,0,4-3-3,4-4-1-1,14.0,16.0,5.0,5.0,23.0,11.0,494.0,465.0,22.0,12.0,12.0,8.0,34.0,33.0,42.0,27.0,2.0,0.0,3.0,9.0,27.0,25.0,96.0,87.0,2.0,0.0,0.0,2.0,1.0,0.0,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Harry Arter,Joe Ralls,Kenneth Zohore,Josh Murphy,Víctor Camarasa,Sol Bamba,Junior Hoilett,Alex Smithies,Jazz Richards,Callum Paterson,Bobby Reid,Greg Cunningham,Nathaniel Mendez-Laing,Martin Dúbravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Javier Manquillo,Joselu,Karl Darlow,Ki Sung-yueng,Jacob Murphy,Salomón Rondón,Yoshinori Mutō,Isaac Hayden
11,11,2,Sat,2018-08-18,15:00,West Ham,1.2,1.3,Bournemouth,"56,888",London Stadium,Stuart Attwell,/en/matches/19d6b566/West-Ham-United-Bournemouth-August-18-2018-Premier-League,1,2,4-4-2,4-4-2,14.0,10.0,6.0,4.0,23.0,11.0,637.0,473.0,21.0,11.0,9.0,6.0,25.0,17.0,17.0,34.0,0.0,0.0,8.0,9.0,20.0,19.0,83.0,59.0,6.0,0.0,0.0,2.0,0.0,0.0,Łukasz Fabiański,Fabián Balbuena,Pablo Zabaleta,Marko Arnautović,Felipe Anderson,Robert Snodgrass,Mark Noble,Javier Hernández,Jack Wilshere,Angelo Ogbonna,Arthur Masuaku,Adrián,Aaron Cresswell,Pedro Obiang,Carlos Sánchez,Andriy Yarmolenko,Issa Diop,Asmir Begović,Steve Cook,Dan Gosling,Nathan Aké,Andrew Surman,Charlie Daniels,Callum Wilson,Adam Smith,Joshua King,David Brooks,Ryan Fraser,Artur Boruc,Simon Francis,Lys Mousset,Jordon Ibe,Lewis Cook,Jermain Defoe
12,12,2,Sat,2018-08-18,15:00,Everton,1.5,1.7,Southampton,"38,601",Goodison Park,Lee Mason,/en/matches/7b877ffd/Everton-Southampton-August-18-2018-Premier-League,2,1,4-2-3-1,4-4-2,8.0,20.0,2.0,5.0,19.0,16.0,575.0,447.0,18.0,11.0,14.0,13.0,22.0,31.0,20.0,25.0,2.0,3.0,10.0,8.0,22.0,28.0,78.0,86.0,0.0,0.0,0.0,5.0,0.0,0.0,Jordan Pickford,Mason Holgate,Leighton Baines,Michael Keane,Gylfi Sigurðsson,Theo Walcott,Cenk Tosun,Idrissa Gana Gueye,Morgan Schneiderlin,Séamus Coleman,Richarlison,Maarten Stekelenburg,Kurt Zouma,Oumar Niasse,Tom Davies,Dominic Calvert-Lewin,Ademola Lookman,Alex McCarthy,Cédric Soares,Jack Stephens,Wesley Hoedt,Danny Ings,Charlie Austin,Oriol Romeu,James Ward-Prowse,Mario Lemina,Ryan Bertrand,Nathan Redmond,Angus Gunn,Maya Yoshida,Shane Long,Stuart Armstrong,Manolo Gabbiadini,Pierre Højbjerg
13,13,2,Sat,2018-08-18,15:00,Leicester City,0.2,1.1,Wolves,"32,043",King Power Stadium,Mike Dean,/en/matches/8088d605/Leicester-City-Wolverhampton-Wanderers-August-18-2018-Premier-League,2,0,4-2-3-1,3-4-3,10.0,8.0,1.0,9.0,13.0,29.0,560.0,664.0,24.0,18.0,13.0,11.0,18.0,18.0,38.0,15.0,0.0,1.0,12.0,7.0,17.0,27.0,58.0,72.0,2.0,1.0,0.0,1.0,0.0,0.0,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Demarai Gray,Jamie Vardy,James Maddison,Marc Albrighton,Ricardo Pereira,Harry Maguire,Nampalys Mendy,Wilfred Ndidi,Danny Ward,Wes Morgan,Kelechi Iheanacho,Daniel Amartey,Adrien Silva,Christian Fuchs,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Léo Bonatini
14,14,2,Sat,2018-08-18,15:00,Tottenham,2.9,1.6,Fulham,"58,297",Wembley Stadium,Anthony Taylor,/en/matches/aa8f0365/Tottenham-Hotspur-Fulham-August-18-2018-Premier-League,3,1,3-1-4-2,4-3-3,9.0,5.0,5.0,2.0,27.0,7.0,780.0,578.0,12.0,13.0,12.0,10.0,14.0,7.0,9.0,42.0,1.0,3.0,5.0,9.0,25.0,12.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Harry Kane,Eric Dier,Dele Alli,Christian Eriksen,Lucas Moura,Ben Davies,Michel Vorm,Danny Rose,Harry Winks,Érik Lamela,Moussa Sissoko,Mousa Dembélé,Fabricio,Ryan Sessegnon,Calum Chambers,Aleksandar Mitrović,Tom Cairney,Maxime Le Marchand,Timothy Fosu-Mensah,Joe Bryan,Jean Seri,Andre-Frank Zambo Anguissa,Aboubakar Kamara,Sergio Rico,Kevin McDonald,Neeskens Kebano,Stefan Johansen,André Schürrle,Luciano Vietto
15,15,2,Sat,2018-08-18,17:30,Chelsea,1.6,2.4,Arsenal,"40,491",Stamford Bridge,Martin Atkinson,/en/matches/9b69882c/North-West-London-Derby-Chelsea-Arsenal-August-18-2018-Premier-League,3,2,4-3-3,4-2-3-1,12.0,9.0,5.0,1.0,15.0,12.0,851.0,571.0,16.0,14.0,7.0,12.0,15.0,12.0,11.0,23.0,3.0,3.0,10.0,9.0,21.0,17.0,63.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Ross Barkley,Pedro,Willian,César Azpilicueta,Álvaro Morata,David Luiz,Willy Caballero,Eden Hazard,Victor Moses,Mateo Kovačić,Olivier Giroud,Davide Zappacosta,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Mesut Özil,Pierre-Emerick Aubameyang,Alex Iwobi,Nacho Monreal,Shkodran Mustafi,Mattéo Guendouzi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Aaron Ramsey,Alexandre Lacazette,Lucas Torreira,Stephan Lichtsteiner
16,16,2,Sun,2018-08-19,13:30,Burnley,0.6,1.5,Watford,"18,822",Turf Moor,Paul Tierney,/en/matches/5f6c378d/Burnley-Watford-August-19-2018-Premier-League,1,3,4-4-1-1,4-2-2-2,8.0,19.0,5.0,2.0,32.0,7.0,622.0,501.0,15.0,18.0,10.0,13.0,30.0,26.0,21.0,32.0,2.0,4.0,2.0,11.0,23.0,25.0,109.0,89.0,1.0,0.0,0.0,2.0,0.0,0.0,Joe Hart,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Jeff Hendrick,Ashley Westwood,Stephen Ward,Aaron Lennon,Tom Heaton,Charlie Taylor,Sam Vokes,Ashley Barnes,Ben Gibson,Phil Bardsley,Ben Foster,Daryl Janmaat,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,José Holebas,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Isaac Success,Adam Masina,Ken Sema
17,17,2,Sun,2018-08-19,13:30,Manchester City,4.2,0.7,Huddersfield,"54,021",Etihad Stadium,Andre Marriner,/en/matches/64ee90d5/Manchester-City-Huddersfield-Town-August-19-2018-Premier-League,6,1,3-1-4-2,4-4-2,9.0,4.0,10.0,3.0,24.0,12.0,924.0,352.0,5.0,16.0,5.0,7.0,17.0,18.0,27.0,29.0,1.0,1.0,7.0,12.0,15.0,11.0,58.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,Ederson,Vincent Kompany,John Stones,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Bernardo Silva,David Silva,Benjamin Mendy,Fernandinho,Gabriel Jesus,Claudio Bravo,Kyle Walker,Raheem Sterling,Leroy Sané,Riyad Mahrez,Nicolás Otamendi,Ben Hamer,Tommy Smith,Terence Kongolo,Philip Billing,Chris Löwe,Alex Pritchard,Steve Mounié,Christopher Schindler,Jon Gorenc Stanković,Abdelhamid Sabiri,Florent Hadergjonaj,Jonas Lössl,Adama Diakhaby,Ramadan Sobhi,Rajiv van La Parra,Isaac Mbenza,Danny Williams
18,18,2,Sun,2018-08-19,16:00,Brighton,1.7,1.4,Manchester Utd,"30,592",The American Express Community Stadium,Kevin Friend,/en/matches/620ebbfd/Brighton-and-Hove-Albion-Manchester-United-August-19-2018-Premier-League,3,2,4-4-1-1,4-3-3,16.0,13.0,3.0,5.0,13.0,17.0,426.0,729.0,28.0,12.0,10.0,4.0,12.0,22.0,21.0,19.0,2.0,2.0,10.0,4.0,23.0,27.0,84.0,64.0,1.0,0.0,0.0,1.0,0.0,0.0,Mathew Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Pascal Groß,Glenn Murray,Solly March,Martín Montoya,Davy Pröpper,David Button,Beram Kayal,Yves Bissouma,Jürgen Locadia,Leon Balogun,Alireza Jahanbakhsh,David de Gea,Victor Lindelöf,Eric Bailly,Paul Pogba,Juan Mata,Romelu Lukaku,Anthony Martial,Andreas Pereira,Fred,Ashley Young,Luke Shaw,Lee Grant,Marcus Rashford,Chris Smalling,Jesse Lingard,Ander Herrera,Marouane Fellaini
19,19,2,Mon,2018-08-20,20:00,Crystal Palace,0.4,2.6,Liverpool,"25,750",Selhurst Park,Michael Oliver,/en/matches/24e4536f/Crystal-Palace-Liverpool-August-20-2018-Premier-League,0,2,4-4-2,4-3-3,6.0,13.0,6.0,7.0,16.0,23.0,507.0,783.0,14.0,22.0,14.0,10.0,19.0,13.0,23.0,20.0,2.0,2.0,9.0,4.0,18.0,13.0,68.0,68.0,1.0,1.0,0.0,1.0,0.0,0.0,Wayne Hennessey,Patrick van Aanholt,Luka Milivojević,James Tomkins,Andros Townsend,Wilfried Zaha,Mamadou Sakho,Jeffrey Schlupp,Christian Benteke,James McArthur,Aaron Wan-Bissaka,Vicente Guaita,Joel Ward,Max Meyer,Cheikhou Kouyaté,Alexander Sørloth,Jordan Ayew,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Andrew Robertson,Trent Alexander-Arnold,Simon Mignolet,Jordan Henderson,Daniel Sturridge,Alberto Moreno,Adam Lallana,Xherdan Shaqiri
20,20,3,Sat,2018-08-25,12:30,Wolves,1.0,1.6,Manchester City,"31,322",Molineux Stadium,Martin Atkinson,/en/matches/a25a3f33/Wolverhampton-Wanderers-Manchester-City-August-25-2018-Premier-League,1,1,3-4-3,4-3-3,13.0,8.0,5.0,9.0,14.0,30.0,410.0,794.0,19.0,9.0,10.0,7.0,15.0,13.0,40.0,13.0,4.0,3.0,16.0,7.0,10.0,20.0,68.0,45.0,1.0,0.0,0.0,2.0,0.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Léo Bonatini,Ederson,Kyle Walker,Vincent Kompany,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Bernardo Silva,David Silva,Benjamin Mendy,Fernandinho,Arijanet Muric,John Stones,Fabian Delph,Leroy Sané,Riyad Mahrez,Nicolás Otamendi
21,21,3,Sat,2018-08-25,15:00,Arsenal,1.8,1.1,West Ham,"59,830",Emirates Stadium,Graham Scott,/en/matches/0014076a/Arsenal-West-Ham-United-August-25-2018-Premier-League,3,1,4-2-3-1,4-4-1-1,16.0,13.0,7.0,2.0,21.0,15.0,695.0,499.0,15.0,14.0,6.0,17.0,14.0,14.0,26.0,29.0,3.0,3.0,6.0,7.0,13.0,22.0,52.0,58.0,1.0,0.0,0.0,3.0,0.0,0.0,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Aaron Ramsey,Pierre-Emerick Aubameyang,Alex Iwobi,Nacho Monreal,Shkodran Mustafi,Mattéo Guendouzi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Alexandre Lacazette,Lucas Torreira,Stephan Lichtsteiner,Rob Holding,Łukasz Fabiański,Fabián Balbuena,Marko Arnautović,Felipe Anderson,Robert Snodgrass,Carlos Sánchez,Jack Wilshere,Issa Diop,Ryan Fredericks,Arthur Masuaku,Michail Antonio,Adrián,Pablo Zabaleta,Pedro Obiang,Javier Hernández,Andriy Yarmolenko,Lucas Pérez
22,22,3,Sat,2018-08-25,15:00,Southampton,0.5,0.6,Leicester City,"29,925",St. Mary's Stadium,Jonathan Moss,/en/matches/4e5f55cb/Southampton-Leicester-City-August-25-2018-Premier-League,1,2,4-4-2,4-2-3-1,13.0,11.0,10.0,3.0,28.0,15.0,597.0,575.0,18.0,14.0,14.0,8.0,22.0,20.0,14.0,40.0,1.0,0.0,10.0,7.0,19.0,14.0,80.0,65.0,3.0,0.0,1.0,1.0,0.0,0.0,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Shane Long,Danny Ings,Mohamed Elyounoussi,Mario Lemina,Ryan Bertrand,Nathan Redmond,Pierre Højbjerg,Angus Gunn,Jack Stephens,Steven Davis,Charlie Austin,Oriol Romeu,James Ward-Prowse,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Demarai Gray,Kelechi Iheanacho,James Maddison,Ricardo Pereira,Harry Maguire,Daniel Amartey,Nampalys Mendy,Wilfred Ndidi,Danny Ward,Jonny Evans,Marc Albrighton,Shinji Okazaki,Adrien Silva,Christian Fuchs
23,23,3,Sat,2018-08-25,15:00,Huddersfield,0.2,0.9,Cardiff City,"21,193",The John Smith's Stadium,Michael Oliver,/en/matches/846881a8/Huddersfield-Town-Cardiff-City-August-25-2018-Premier-League,0,0,4-2-3-1,4-1-4-1,8.0,10.0,7.0,7.0,26.0,15.0,543.0,469.0,14.0,19.0,6.0,12.0,27.0,35.0,24.0,33.0,1.0,1.0,11.0,4.0,23.0,34.0,83.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,Ben Hamer,Terence Kongolo,Jonathan Hogg,Philip Billing,Aaron Mooy,Adama Diakhaby,Rajiv van La Parra,Steve Mounié,Mathias Jørgensen,Christopher Schindler,Florent Hadergjonaj,Jonas Lössl,Tommy Smith,Chris Löwe,Isaac Mbenza,Laurent Depoitre,Alex Pritchard,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Harry Arter,Joe Ralls,Kenneth Zohore,Josh Murphy,Nathaniel Mendez-Laing,Víctor Camarasa,Sol Bamba,Alex Smithies,Lee Peltier,Danny Ward,Callum Paterson,Bobby Reid,Greg Cunningham
