,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away
120,120,13,Sat,2018-11-24,15:00,Manchester Utd,0.9,1.2,Crystal Palace,"74,516",Old Trafford,Lee Mason,/en/matches/12d7dc7e/Manchester-United-Crystal-Palace-November-24-2018-Premier-League,0,0,4-3-3,4-4-2,13.0,12.0,10.0,3.0,31.0,8.0,683.0,517.0,23.0,13.0,5.0,13.0,18.0,13.0,18.0,38.0,2.0,3.0,8.0,9.0,22.0,22.0,66.0,59.0,1.0,0.0,0.0,2.0,0.0,0.0,David de Gea,Victor Lindelöf,Paul Pogba,Juan Mata,Romelu Lukaku,Anthony Martial,Chris Smalling,Jesse Lingard,Ashley Young,Nemanja Matić,Matteo Darmian,Lee Grant,Phil Jones,Alexis Sánchez,Marcus Rashford,Fred,Antonio Valencia,Wayne Hennessey,Patrick van Aanholt,Luka Milivojević,James Tomkins,Max Meyer,Cheikhou Kouyaté,Andros Townsend,Wilfried Zaha,Mamadou Sakho,James McArthur,Aaron Wan-Bissaka,Vicente Guaita,Joel Ward,Alexander Sørloth,Jordan Ayew,Jeffrey Schlupp,Martin Kelly
121,121,13,Sat,2018-11-24,15:00,Fulham,1.3,1.3,Southampton,"24,603",Craven Cottage,Michael Oliver,/en/matches/1e2866b1/Fulham-Southampton-November-24-2018-Premier-League,3,2,4-2-3-1,4-2-3-1,10.0,6.0,2.0,5.0,11.0,33.0,546.0,778.0,20.0,19.0,8.0,7.0,21.0,17.0,47.0,12.0,4.0,1.0,10.0,4.0,22.0,31.0,80.0,104.0,2.0,0.0,0.0,3.0,0.0,0.0,Sergio Rico,Ryan Sessegnon,Denis Odoi,Calum Chambers,Aleksandar Mitrović,Tom Cairney,André Schürrle,Maxime Le Marchand,Cyrus Christie,Jean Seri,Alfie Mawson,Marcus Bettinelli,Neeskens Kebano,Stefan Johansen,Floyd Ayité,Tim Ream,Joe Bryan,Alex McCarthy,Cédric Soares,Maya Yoshida,Wesley Hoedt,Charlie Austin,Stuart Armstrong,Mario Lemina,Manolo Gabbiadini,Nathan Redmond,Pierre Højbjerg,Matt Targett,Angus Gunn,Jannik Vestergaard,Jack Stephens,Steven Davis,Mohamed Elyounoussi,James Ward-Prowse
122,122,13,Sat,2018-11-24,15:00,West Ham,0.9,2.7,Manchester City,"56,886",London Stadium,Andre Marriner,/en/matches/345e0f93/West-Ham-United-Manchester-City-November-24-2018-Premier-League,0,4,4-2-3-1,4-3-3,6.0,3.0,8.0,1.0,13.0,4.0,489.0,978.0,21.0,13.0,14.0,18.0,11.0,10.0,11.0,14.0,2.0,3.0,6.0,9.0,16.0,13.0,71.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,Łukasz Fabiański,Fabián Balbuena,Pablo Zabaleta,Marko Arnautović,Felipe Anderson,Pedro Obiang,Issa Diop,Arthur Masuaku,Michail Antonio,Declan Rice,Grady Diangana,Adrián,Aaron Cresswell,Andy Carroll,Mark Noble,Javier Hernández,Angelo Ogbonna,Ederson,Kyle Walker,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Fabian Delph,Leroy Sané,David Silva,Fernandinho,Nicolás Otamendi,Arijanet Muric,Vincent Kompany,John Stones,Riyad Mahrez,Gabriel Jesus,Oleksandr Zinchenko
123,123,13,Sat,2018-11-24,15:00,Brighton,1.0,1.2,Leicester City,"30,553",The American Express Community Stadium,Chris Kavanagh,/en/matches/52005385/Brighton-and-Hove-Albion-Leicester-City-November-24-2018-Premier-League,1,1,4-4-1-1,4-2-3-1,10.0,7.0,6.0,1.0,25.0,12.0,596.0,548.0,19.0,17.0,12.0,15.0,10.0,23.0,13.0,24.0,5.0,1.0,10.0,6.0,29.0,34.0,93.0,69.0,3.0,0.0,0.0,3.0,0.0,1.0,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Beram Kayal,Anthony Knockaert,Pascal Groß,Glenn Murray,José Izquierdo,Davy Pröpper,Bernardo,Jason Steele,Gaëtan Bong,Yves Bissouma,Jürgen Locadia,Florin Andone,Leon Balogun,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Jonny Evans,Demarai Gray,James Maddison,Marc Albrighton,Ricardo Pereira,Shinji Okazaki,Vicente Iborra,Nampalys Mendy,Danny Ward,Danny Simpson,Çağlar Söyüncü,Kelechi Iheanacho,Jamie Vardy,Wilfred Ndidi
124,124,13,Sat,2018-11-24,15:00,Everton,2.1,1.0,Cardiff City,"39,139",Goodison Park,Paul Tierney,/en/matches/792b0e13/Everton-Cardiff-City-November-24-2018-Premier-League,1,0,4-2-3-1,4-1-4-1,12.0,13.0,7.0,3.0,26.0,7.0,692.0,384.0,12.0,16.0,10.0,14.0,25.0,25.0,23.0,36.0,0.0,1.0,5.0,12.0,27.0,21.0,61.0,87.0,0.0,0.0,0.0,3.0,0.0,0.0,Jordan Pickford,Michael Keane,André Gomes,Gylfi Sigurðsson,Theo Walcott,Lucas Digne,Yerry Mina,Idrissa Gana Gueye,Bernard,Séamus Coleman,Richarlison,Maarten Stekelenburg,Leighton Baines,Kurt Zouma,Cenk Tosun,Tom Davies,Dominic Calvert-Lewin,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Harry Arter,Joe Ralls,Callum Paterson,Aron Gunnarsson,Greg Cunningham,Víctor Camarasa,Sol Bamba,Kadeem Harris,Alex Smithies,Lee Peltier,Joe Bennett,Danny Ward,Josh Murphy,Bobby Reid
125,125,13,Sat,2018-11-24,15:00,Watford,0.4,1.2,Liverpool,"20,540",Vicarage Road Stadium,Jonathan Moss,/en/matches/cbebd176/Watford-Liverpool-November-24-2018-Premier-League,0,3,4-2-2-2,4-2-3-1,12.0,13.0,5.0,5.0,13.0,18.0,496.0,782.0,14.0,13.0,15.0,13.0,15.0,23.0,24.0,23.0,4.0,4.0,3.0,7.0,15.0,22.0,72.0,75.0,0.0,0.0,0.0,2.0,0.0,1.0,Ben Foster,Adrian Mariappa,Gerard Deulofeu,Troy Deeney,Adam Masina,Craig Cathcart,Abdoulaye Doucouré,Will Hughes,Kiko Femenía,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Isaac Success,Nathaniel Chalobah,Andre Gray,Domingos Quina,Marc Navarro,Alisson,Virgil van Dijk,Georginio Wijnaldum,Dejan Lovren,Roberto Firmino,Sadio Mané,Mohamed Salah,Jordan Henderson,Xherdan Shaqiri,Andrew Robertson,Trent Alexander-Arnold,Simon Mignolet,Nathaniel Clyne,Fabinho,James Milner,Naby Keïta,Daniel Sturridge
126,126,13,Sat,2018-11-24,17:30,Tottenham,3.1,1.0,Chelsea,"55,465",Tottenham Hotspur Stadium,Martin Atkinson,/en/matches/2eca20e6/Tottenham-Hotspur-Chelsea-November-24-2018-Premier-League,3,1,4-1-2-1-2,4-3-3,19.0,12.0,4.0,4.0,9.0,21.0,527.0,705.0,12.0,15.0,10.0,22.0,18.0,13.0,23.0,8.0,3.0,5.0,11.0,9.0,15.0,20.0,72.0,63.0,0.0,0.0,0.0,3.0,0.0,0.0,Hugo Lloris,Toby Alderweireld,Son Heung-min,Harry Kane,Eric Dier,Moussa Sissoko,Dele Alli,Juan Foyth,Christian Eriksen,Serge Aurier,Ben Davies,Paulo Gazzaniga,Jan Vertonghen,Harry Winks,Érik Lamela,Kyle Walker-Peters,Fernando Llorente,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Eden Hazard,Mateo Kovačić,Willian,César Azpilicueta,Álvaro Morata,David Luiz,Willy Caballero,Cesc Fàbregas,Ross Barkley,Pedro,Olivier Giroud,Davide Zappacosta
127,127,13,Sun,2018-11-25,13:30,Bournemouth,0.6,1.6,Arsenal,"10,792",Vitality Stadium,Craig Pawson,/en/matches/753e2ff1/Bournemouth-Arsenal-November-25-2018-Premier-League,1,2,4-4-2,3-4-3,6.0,9.0,5.0,8.0,22.0,21.0,575.0,737.0,14.0,20.0,13.0,8.0,23.0,18.0,33.0,22.0,4.0,2.0,13.0,6.0,24.0,25.0,69.0,66.0,2.0,0.0,0.0,1.0,0.0,0.0,Asmir Begović,Simon Francis,Steve Cook,Dan Gosling,Nathan Aké,Jefferson Lerma,Charlie Daniels,Callum Wilson,Joshua King,David Brooks,Ryan Fraser,Artur Boruc,Andrew Surman,Lys Mousset,Lewis Cook,Jermain Defoe,Junior Stanislas,Bernd Leno,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Lucas Torreira,Pierre-Emerick Aubameyang,Rob Holding,Alex Iwobi,Shkodran Mustafi,Sead Kolašinac,Granit Xhaka,Petr Čech,Mohamed Elneny,Aaron Ramsey,Mesut Özil,Ainsley Maitland-Niles,Mattéo Guendouzi
128,128,13,Sun,2018-11-25,16:00,Wolves,0.8,0.7,Huddersfield,"30,130",Molineux Stadium,Kevin Friend,/en/matches/afb0fe29/Wolverhampton-Wanderers-Huddersfield-Town-November-25-2018-Premier-League,0,2,3-4-3,3-5-1-1,9.0,8.0,3.0,5.0,13.0,19.0,621.0,719.0,21.0,28.0,16.0,25.0,18.0,29.0,21.0,22.0,1.0,1.0,6.0,5.0,34.0,20.0,73.0,98.0,1.0,0.0,0.0,2.0,0.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Ivan Cavaleiro,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,João Moutinho,Rúben Vinagre,John Ruddy,Morgan Gibbs-White,Diogo Jota,Romain Saïss,Leander Dendoncker,Léo Bonatini,Jonas Lössl,Tommy Smith,Terence Kongolo,Jonathan Hogg,Philip Billing,Aaron Mooy,Alex Pritchard,Steve Mounié,Christopher Schindler,Florent Hadergjonaj,Erik Durm,Ben Hamer,Elias Kachunga,Ramadan Sobhi,Isaac Mbenza,Danny Williams,Laurent Depoitre
129,129,13,Mon,2018-11-26,20:30,Burnley,1.8,1.6,Newcastle Utd,"20,628",Turf Moor,Anthony Taylor,/en/matches/11494d52/Burnley-Newcastle-United-November-26-2018-Premier-League,1,2,4-4-2,5-4-1,6.0,11.0,5.0,5.0,27.0,20.0,746.0,621.0,15.0,12.0,8.0,13.0,26.0,27.0,23.0,47.0,1.0,1.0,5.0,6.0,24.0,11.0,104.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,Joe Hart,Matthew Lowton,Charlie Taylor,Jack Cork,Ben Mee,Sam Vokes,Chris Wood,Robbie Brady,Steven Defour,Aaron Lennon,Kevin Long,Tom Heaton,Ashley Barnes,Jeff Hendrick,Ben Gibson,Ashley Westwood,Phil Bardsley,Martin Dúbravka,Ciaran Clark,Ki Sung-yueng,Fabian Schär,Salomón Rondón,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Federico Fernández,DeAndre Yedlin,Freddie Woodman,Jacob Murphy,Jonjo Shelvey,Isaac Hayden,Javier Manquillo,Joselu
