,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away
12,12,2,Sat,2022-08-13,15:00,Southampton,1.2,1.8,Leeds United,"30,815",St. Mary's Stadium,Tony Harrington,/en/matches/54b33a13/Southampton-Leeds-United-August-13-2022-Premier-League,2,2,3-4-3,4-2-3-1,10.0,12.0,2.0,5.0,15.0,11.0,496.0,623.0,17.0,27.0,14.0,10.0,17.0,23.0,17.0,21.0,1.0,1.0,6.0,9.0,25.0,28.0,72.0,72.0,1.0,0.0,0.0,3.0,0.0,0.0,Gavin Bazunu,Kyle Walker-Peters,James Ward-Prowse,Che Adams,Stuart Armstrong,Moussa Djenepo,Mohammed Salisu,Mohamed Elyounoussi,Jan Bednarek,Armel Bella Kotchap,Roméo Lavia,Alex McCarthy,Lyanco,Jack Stephens,Oriol Romeu,Joe Aribo,Adam Armstrong,Sekou Mara,Ibrahima Diallo,Illan Meslier,Robin Koch,Brenden Aaronson,Marc Roca,Patrick Bamford,Jack Harrison,Tyler Adams,Diego Llorente,Rodrigo,Pascal Struijk,Rasmus Nissen,Kristoffer Klaesson,Adam Forshaw,Crysencio Summerville,Daniel James,Luis Sinisterra,Leo Fuhr Hjelde,Cody Drameh,Sam Greenwood
13,13,2,Sat,2022-08-13,15:00,Wolves,0.9,1.5,Fulham,"31,178",Molineux Stadium,John Brooks,/en/matches/669b1665/Wolverhampton-Wanderers-Fulham-August-13-2022-Premier-League,0,0,4-2-3-1,4-2-3-1,7.0,14.0,5.0,3.0,19.0,22.0,659.0,495.0,18.0,19.0,8.0,9.0,14.0,13.0,17.0,24.0,1.0,0.0,6.0,7.0,22.0,24.0,76.0,60.0,3.0,0.0,0.0,3.0,0.0,0.0,José Sá,Rayan Aït Nouri,Nathan Collins,Pedro Neto,Rúben Neves,Daniel Podence,Hwang Hee-chan,Morgan Gibbs-White,Jonny Castro,Max Kilman,Leander Dendoncker,Matija Šarkić,Willy Boly,Gonçalo Guedes,Nélson Semedo,Toti Gomes,Connor Ronan,Adama Traoré,Luke Cundle,Marek Rodák,Kenny Tete,Tosin Adarabioyo,Harrison Reed,Neeskens Kebano,Aleksandar Mitrović,Tim Ream,Bobby Reid,Andreas Pereira,João Palhinha,Antonee Robinson,Bernd Leno,Shane Duffy,Tom Cairney,Nathaniel Chalobah,Rodrigo Muniz,Kevin Mbabu,Issa Diop,Tyrese Francois
14,14,2,Sat,2022-08-13,15:00,Arsenal,2.7,0.5,Leicester City,"60,033",Emirates Stadium,Darren England,/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League,4,2,4-3-3,3-5-1-1,15.0,9.0,6.0,2.0,17.0,9.0,590.0,586.0,8.0,12.0,8.0,8.0,19.0,14.0,12.0,19.0,2.0,3.0,3.0,12.0,15.0,16.0,50.0,66.0,1.0,0.0,0.0,1.0,0.0,0.0,Aaron Ramsdale,Ben White,Thomas Partey,Gabriel Dos Santos,Bukayo Saka,Martin Ødegaard,Gabriel Jesus,Gabriel Martinelli,William Saliba,Granit Xhaka,Oleksandr Zinchenko,Matt Turner,Kieran Tierney,Emile Smith Rowe,Eddie Nketiah,Rob Holding,Takehiro Tomiyasu,Nicolas Pépé,Albert Sambi Lokonga,Danny Ward,James Justin,Wesley Fofana,Jonny Evans,Youri Tielemans,Jamie Vardy,James Maddison,Daniel Amartey,Kiernan Dewsbury-Hall,Wilfred Ndidi,Timothy Castagne,Daniel Iversen,Çağlar Söyüncü,Marc Albrighton,Kelechi Iheanacho,Ayoze Pérez,Patson Daka,Nampalys Mendy,Dennis Praet
15,15,2,Sat,2022-08-13,15:00,Brighton,1.5,0.2,Newcastle Utd,"31,552",The American Express Community Stadium,Graham Scott,/en/matches/c916a5f6/Brighton-and-Hove-Albion-Newcastle-United-August-13-2022-Premier-League,0,0,3-4-1-2,4-3-3,8.0,6.0,7.0,3.0,19.0,10.0,521.0,475.0,18.0,12.0,8.0,14.0,18.0,16.0,19.0,34.0,1.0,4.0,4.0,9.0,23.0,22.0,71.0,74.0,2.0,0.0,0.0,3.0,0.0,0.0,Robert Sánchez,Adam Webster,Lewis Dunk,Solly March,Alexis Mac Allister,Leandro Trossard,Pascal Groß,Adam Lallana,Danny Welbeck,Moisés Caicedo,Joël Veltman,Jason Steele,Tariq Lamptey,Levi Colwill,Enock Mwepu,Steven Alzate,Jeremy Sarmiento,Deniz Undav,Kaoru Mitoma,Nick Pope,Kieran Trippier,Sven Botman,Fabian Schär,Joelinton,Callum Wilson,Allan Saint-Maximin,Miguel Almirón,Joe Willock,Dan Burn,Bruno Guimarães,Martin Dúbravka,Paul Dummett,Jamaal Lascelles,Matt Ritchie,Javier Manquillo,Chris Wood,Jacob Murphy,Elliot Anderson
16,16,2,Sat,2022-08-13,17:30,Brentford,1.6,0.9,Manchester Utd,"17,051",Brentford Community Stadium,Stuart Attwell,/en/matches/04712d4e/Brentford-Manchester-United-August-13-2022-Premier-League,4,0,5-3-2,4-2-3-1,6.0,15.0,8.0,2.0,17.0,21.0,384.0,673.0,6.0,12.0,8.0,12.0,10.0,14.0,16.0,23.0,1.0,2.0,12.0,6.0,16.0,23.0,66.0,57.0,0.0,0.0,0.0,4.0,0.0,0.0,David Raya,Aaron Hickey,Rico Henry,Christian Nørgaard,Mathias Jensen,Josh Dasilva,Ben Mee,Ivan Toney,Pontus Jansson,Bryan Mbeumo,Mads Roerslev,Thomas Strakosha,Yoane Wissa,Saman Ghoddos,Frank Onyeka,Keane Lewis-Potter,Mikkel Damsgaard,Shandon Baptiste,Vitaly Janelt,David de Gea,Harry Maguire,Lisandro Martínez,Cristiano Ronaldo,Bruno Fernandes,Marcus Rashford,Christian Eriksen,Fred,Diogo Dalot,Luke Shaw,Jadon Sancho,Tom Heaton,Tyrell Malacia,Raphaël Varane,Aaron Wan-Bissaka,Donny van de Beek,Anthony Elanga,James Garner,Scott McTominay
17,17,2,Sun,2022-08-14,14:00,Nott'ham Forest,1.3,2.1,West Ham,"29,281",The City Ground,Robert Jones,/en/matches/b1ebeda5/Nottingham-Forest-West-Ham-United-August-14-2022-Premier-League,1,0,3-4-1-2,4-3-3,10.0,11.0,6.0,7.0,20.0,26.0,464.0,545.0,16.0,16.0,5.0,7.0,18.0,20.0,31.0,22.0,3.0,2.0,10.0,5.0,17.0,26.0,70.0,80.0,4.0,0.0,0.0,1.0,0.0,0.0,Dean Henderson,Joe Worrall,Orel Mangala,Neco Williams,Taiwo Awoniyi,Jesse Lingard,Lewis O'Brien,Harry Toffolo,Moussa Niakhate,Brennan Johnson,Scott McKenna,Wayne Hennessey,Giulian Biancone,Steve Cook,Loïc Mbe Soh,Sam Surridge,Alex Mighten,Cafú,Lyle Taylor,Łukasz Fabiański,Ben Johnson,Aaron Cresswell,Kurt Zouma,Vladimír Coufal,Pablo Fornals,Michail Antonio,Jarrod Bowen,Saïd Benrahma,Tomáš Souček,Declan Rice,Alphonse Areola,Darren Randolph,Gianluca Scamacca,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Conor Coventry,nan
18,18,2,Sun,2022-08-14,16:30,Chelsea,1.6,1.0,Tottenham,"39,946",Stamford Bridge,Anthony Taylor,/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,2,2,3-5-2,3-4-3,9.0,9.0,8.0,5.0,23.0,12.0,760.0,520.0,28.0,25.0,4.0,15.0,14.0,16.0,8.0,34.0,2.0,1.0,5.0,11.0,26.0,19.0,58.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,Edouard Mendy,Jorginho,Thiago Silva,N'Golo Kanté,Ruben Loftus-Cheek,Raheem Sterling,Mason Mount,Reece James,Kalidou Koulibaly,Kai Havertz,Marc Cucurella,Kepa Arrizabalaga,Christian Pulisic,Trevoh Chalobah,Armando Broja,Callum Hudson-Odoi,Ben Chilwell,Hakim Ziyech,Conor Gallagher,Hugo Lloris,Pierre Højbjerg,Son Heung-min,Harry Kane,Emerson,Eric Dier,Cristian Romero,Ryan Sessegnon,Dejan Kulusevski,Rodrigo Bentancur,Ben Davies,Fraser Forster,Matt Doherty,Davinson Sánchez,Richarlison,Bryan Gil,Ivan Perišić,Japhet Tanganga,Lucas Moura
19,19,2,Mon,2022-08-15,20:00,Liverpool,2.0,1.0,Crystal Palace,"52,970",Anfield,Paul Tierney,/en/matches/b3c6f709/Liverpool-Crystal-Palace-August-15-2022-Premier-League,1,1,4-3-3,5-4-1,7.0,8.0,4.0,2.0,29.0,9.0,911.0,450.0,20.0,23.0,13.0,18.0,9.0,16.0,9.0,37.0,3.0,2.0,5.0,16.0,27.0,17.0,98.0,69.0,2.0,1.0,0.0,4.0,0.0,0.0,Alisson,Fabinho,Virgil van Dijk,James Milner,Mohamed Salah,Harvey Elliott,Luis Díaz,Andrew Robertson,Darwin Núñez,Nathaniel Phillips,Trent Alexander-Arnold,Adrián,Joe Gomez,Naby Keïta,Jordan Henderson,Kostas Tsimikas,Fabio Carvalho,Bobby Clark,Stefan Bajcetic,Vicente Guaita,Joel Ward,Tyrick Mitchell,Marc Guéhi,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Jeffrey Schlupp,Joachim Andersen,Nathaniel Clyne,Cheick Doucouré,Sam Johnstone,Luka Milivojević,Michael Olise,Jean-Philippe Mateta,Will Hughes,Odsonne Édouard,Malcolm Ebiowei,Chris Richards
20,20,3,Sat,2022-08-20,12:30,Tottenham,1.7,0.7,Wolves,"61,298",Tottenham Hotspur Stadium,Simon Hooper,/en/matches/5cc3bd0e/Tottenham-Hotspur-Wolverhampton-Wanderers-August-20-2022-Premier-League,1,0,3-4-3,3-5-2,10.0,8.0,8.0,6.0,22.0,19.0,632.0,626.0,18.0,18.0,4.0,6.0,5.0,9.0,17.0,19.0,2.0,0.0,8.0,10.0,14.0,15.0,67.0,78.0,2.0,0.0,0.0,2.0,0.0,0.0,Hugo Lloris,Pierre Højbjerg,Davinson Sánchez,Son Heung-min,Harry Kane,Emerson,Ivan Perišić,Eric Dier,Dejan Kulusevski,Rodrigo Bentancur,Ben Davies,Fraser Forster,Matt Doherty,Richarlison,Bryan Gil,Ryan Sessegnon,Japhet Tanganga,Lucas Moura,Clément Lenglet,José Sá,Rayan Aït Nouri,Nathan Collins,Pedro Neto,Rúben Neves,Daniel Podence,Gonçalo Guedes,Jonny Castro,Max Kilman,Matheus Nunes,João Moutinho,Matija Šarkić,Raúl Jiménez,Hwang Hee-chan,Willy Boly,Nélson Semedo,Toti Gomes,Leander Dendoncker,Adama Traoré
21,21,3,Sat,2022-08-20,15:00,Leicester City,0.3,0.9,Southampton,"30,850",King Power Stadium,Michael Salisbury,/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League,1,2,4-1-4-1,4-2-3-1,11.0,15.0,2.0,5.0,14.0,18.0,718.0,491.0,15.0,19.0,6.0,10.0,17.0,20.0,23.0,21.0,0.0,1.0,5.0,6.0,33.0,20.0,68.0,82.0,2.0,0.0,0.0,3.0,0.0,0.0,Danny Ward,James Justin,Jonny Evans,Harvey Barnes,Jamie Vardy,James Maddison,Ayoze Pérez,Daniel Amartey,Kiernan Dewsbury-Hall,Wilfred Ndidi,Timothy Castagne,Daniel Iversen,Çağlar Söyüncü,Youri Tielemans,Marc Albrighton,Kelechi Iheanacho,Patson Daka,Nampalys Mendy,Dennis Praet,Gavin Bazunu,Kyle Walker-Peters,Joe Aribo,James Ward-Prowse,Adam Armstrong,Sekou Mara,Moussa Djenepo,Mohammed Salisu,Mohamed Elyounoussi,Armel Bella Kotchap,Roméo Lavia,Alex McCarthy,Lyanco,Oriol Romeu,Che Adams,Stuart Armstrong,Ibrahima Diallo,Theo Walcott,Jan Bednarek
