,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_home,jogador19_home,jogador18_away,jogador19_away
240,240,25,Sat,2020-02-01,12:30,Leicester City,1.4,0.6,Chelsea,"32,186",King Power Stadium,Lee Mason,/en/matches/270dc7ba/Leicester-City-Chelsea-February-1-2020-Premier-League,2,2,4-1-4-1,4-2-3-1,16.0,14.0,4.0,6.0,16.0,14.0,635.0,645.0,25.0,15.0,9.0,9.0,17.0,17.0,18.0,20.0,1.0,1.0,6.0,7.0,24.0,29.0,74.0,79.0,2.0,0.0,0.0,2.0,0.0,0.0,Kasper Schmeichel,Ben Chilwell,Çağlar Söyüncü,Jonny Evans,Youri Tielemans,Jamie Vardy,James Maddison,Harvey Barnes,Ayoze Pérez,Hamza Choudhury,Ricardo Pereira,Danny Ward,James Justin,Demarai Gray,Marc Albrighton,Kelechi Iheanacho,Dennis Praet,Willy Caballero,Antonio Rüdiger,Andreas Christensen,Jorginho,N'Golo Kanté,Tammy Abraham,Pedro,Mason Mount,Callum Hudson-Odoi,Reece James,César Azpilicueta,Kepa Arrizabalaga,Marcos Alonso,Ross Barkley,Willian,Mateo Kovačić,Michy Batshuayi,nan,nan,nan,nan
241,241,25,Sat,2020-02-01,15:00,West Ham,0.8,1.9,Brighton,"59,952",London Stadium,Michael Oliver,/en/matches/14d877cc/West-Ham-United-Brighton-and-Hove-Albion-February-1-2020-Premier-League,3,3,4-1-4-1,4-2-3-1,8.0,9.0,4.0,6.0,22.0,24.0,489.0,767.0,23.0,19.0,15.0,12.0,28.0,28.0,20.0,12.0,2.0,1.0,12.0,8.0,14.0,20.0,77.0,84.0,1.0,0.0,0.0,1.0,0.0,0.0,Łukasz Fabiański,Aaron Cresswell,Robert Snodgrass,Mark Noble,Angelo Ogbonna,Sébastien Haller,Issa Diop,Ryan Fredericks,Tomáš Souček,Michail Antonio,Declan Rice,Darren Randolph,Fabián Balbuena,Pablo Zabaleta,Manuel Lanzini,Pablo Fornals,Arthur Masuaku,Mathew Ryan,Lewis Dunk,Dale Stephens,Leandro Trossard,Pascal Groß,Adam Webster,Glenn Murray,Aaron Mooy,Martín Montoya,Davy Pröpper,Bernardo,David Button,Neal Maupay,Alireza Jahanbakhsh,Solly March,Ezequiel Schelotto,Aaron Connolly,nan,nan,nan,nan
242,242,25,Sat,2020-02-01,15:00,Watford,0.9,2.2,Everton,"21,229",Vicarage Road Stadium,Craig Pawson,/en/matches/476d12a9/Watford-Everton-February-1-2020-Premier-League,2,3,4-2-3-1,4-4-2,17.0,14.0,4.0,4.0,12.0,26.0,519.0,594.0,15.0,22.0,9.0,10.0,33.0,26.0,20.0,21.0,0.0,2.0,8.0,9.0,21.0,18.0,88.0,86.0,2.0,0.0,0.0,4.0,0.0,1.0,Ben Foster,Adrian Mariappa,Gerard Deulofeu,Troy Deeney,Adam Masina,Nathaniel Chalobah,Craig Cathcart,Abdoulaye Doucouré,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Danny Welbeck,Andre Gray,Will Hughes,Isaac Success,José Holebas,Jordan Pickford,Mason Holgate,Richarlison,Fabian Delph,Dominic Calvert-Lewin,Gylfi Sigurðsson,Theo Walcott,Lucas Digne,Yerry Mina,Alex Iwobi,Djibril Sidibé,Maarten Stekelenburg,Leighton Baines,Michael Keane,Morgan Schneiderlin,Bernard,Séamus Coleman,nan,nan,nan,nan
243,243,25,Sat,2020-02-01,15:00,Crystal Palace,0.8,0.7,Sheffield Utd,"25,170",Selhurst Park,Andy Madley,/en/matches/6b34e6af/Crystal-Palace-Sheffield-United-February-1-2020-Premier-League,0,1,4-5-1,3-5-2,9.0,15.0,9.0,5.0,28.0,16.0,683.0,504.0,14.0,20.0,10.0,13.0,31.0,24.0,11.0,30.0,1.0,0.0,8.0,8.0,29.0,17.0,81.0,81.0,3.0,0.0,0.0,2.0,0.0,0.0,Vicente Guaita,Joel Ward,Patrick van Aanholt,Luka Milivojević,James Tomkins,Jordan Ayew,Wilfried Zaha,Christian Benteke,James McArthur,James McCarthy,Gary Cahill,Wayne Hennessey,Scott Dann,Max Meyer,Cheikhou Kouyaté,Andros Townsend,Martin Kelly,Dean Henderson,George Baldock,Enda Stevens,John Fleck,Jack O'Connell,Chris Basham,Oliver McBurnie,Billy Sharp,John Egan,Oliver Norwood,Sander Berge,Michael Verrips,John Lundstram,Luke Freeman,Phil Jagielka,Jack Robinson,Lys Mousset,nan,nan,nan,nan
244,244,25,Sat,2020-02-01,15:00,Liverpool,3.2,0.8,Southampton,"53,291",Anfield,Kevin Friend,/en/matches/ab9e9e23/Liverpool-Southampton-February-1-2020-Premier-League,4,0,4-3-3,4-4-2,9.0,15.0,6.0,11.0,15.0,19.0,683.0,505.0,14.0,18.0,11.0,6.0,15.0,17.0,24.0,26.0,2.0,5.0,13.0,4.0,29.0,14.0,91.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,Alisson,Fabinho,Virgil van Dijk,Georginio Wijnaldum,Roberto Firmino,Mohamed Salah,Joe Gomez,Jordan Henderson,Alex Oxlade-Chamberlain,Andrew Robertson,Trent Alexander-Arnold,Adrián,Dejan Lovren,Naby Keïta,Takumi Minamino,Adam Lallana,Divock Origi,Alex McCarthy,Jack Stephens,Shane Long,Danny Ings,Moussa Djenepo,Oriol Romeu,James Ward-Prowse,Ryan Bertrand,Nathan Redmond,Pierre Højbjerg,Jan Bednarek,Angus Gunn,Jannik Vestergaard,Che Adams,Sofiane Boufal,Michael Obafemi,William Smallbone,nan,nan,nan,nan
245,245,25,Sat,2020-02-01,15:00,Bournemouth,2.2,1.7,Aston Villa,"10,722",Vitality Stadium,Anthony Taylor,/en/matches/db21a88a/Bournemouth-Aston-Villa-February-1-2020-Premier-League,2,1,4-3-3,3-4-3,10.0,15.0,1.0,8.0,13.0,24.0,488.0,626.0,12.0,5.0,21.0,9.0,31.0,26.0,40.0,15.0,1.0,3.0,14.0,6.0,23.0,28.0,78.0,99.0,3.0,0.0,1.0,3.0,0.0,0.0,Aaron Ramsdale,Simon Francis,Dan Gosling,Nathan Aké,Jefferson Lerma,Callum Wilson,Adam Smith,Diego Rico,Harry Wilson,Ryan Fraser,Philip Billing,Artur Boruc,Steve Cook,Andrew Surman,Dominic Solanke,Lewis Cook,Junior Stanislas,Pepe Reina,Douglas Luiz,Jack Grealish,Marvelous Nakamba,Ezri Konsa,Matt Targett,Mbwana Samatta,Anwar El Ghazi,Frederic Guilbert,Kortney Hause,Tyrone Mings,Ørjan Nyland,Henri Lansbury,Conor Hourihane,Trézéguet,Björn Engels,Ahmed Elmohamady,nan,nan,nan,nan
246,246,25,Sat,2020-02-01,15:00,Newcastle Utd,1.0,2.2,Norwich City,"52,204",St. James' Park,Martin Atkinson,/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League,0,0,5-4-1,4-2-3-1,10.0,15.0,8.0,12.0,27.0,25.0,555.0,647.0,15.0,10.0,16.0,10.0,22.0,25.0,39.0,24.0,3.0,0.0,10.0,7.0,14.0,14.0,64.0,68.0,2.0,0.0,0.0,1.0,0.0,0.0,Martin Dúbravka,Ciaran Clark,Jamaal Lascelles,Joelinton,Allan Saint-Maximin,Matt Ritchie,Isaac Hayden,Federico Fernández,DeAndre Yedlin,Miguel Almirón,Nabil Bentaleb,Karl Darlow,Fabian Schär,Florian Lejeune,Valentino Lazaro,Danny Rose,Christian Atsu,Tim Krul,Max Aarons,Sam Byram,Grant Hanley,Christoph Zimmermann,Lukas Rupp,Todd Cantwell,Teemu Pukki,Kenny McLean,Ondrej Duda,Alexander Tettey,Ralf Fährmann,Mario Vrančić,Onel Hernández,Jamal Lewis,Emi Buendía,Tom Trybull,nan,nan,nan,nan
247,247,25,Sat,2020-02-01,17:30,Manchester Utd,1.0,1.3,Wolves,"73,363",Old Trafford,Paul Tierney,/en/matches/88328013/Manchester-United-Wolverhampton-Wanderers-February-1-2020-Premier-League,0,0,4-2-3-1,3-4-3,14.0,15.0,4.0,6.0,23.0,19.0,798.0,525.0,19.0,28.0,5.0,19.0,9.0,8.0,13.0,25.0,0.0,1.0,6.0,7.0,26.0,12.0,42.0,69.0,3.0,0.0,0.0,2.0,0.0,0.0,David de Gea,Victor Lindelöf,Harry Maguire,Juan Mata,Anthony Martial,Andreas Pereira,Fred,Bruno Fernandes,Daniel James,Luke Shaw,Aaron Wan-Bissaka,Sergio Romero,Phil Jones,Jesse Lingard,Diogo Dalot,Mason Greenwood,Tahith Chong,Rui Patrício,Matt Doherty,Rúben Neves,Raúl Jiménez,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,Romain Saïss,João Moutinho,Adama Traoré,John Ruddy,Bruno Jordão,Pedro Neto,Daniel Podence,Morgan Gibbs-White,Leander Dendoncker,nan,nan,nan,nan
248,248,25,Sun,2020-02-02,14:00,Burnley,1.9,1.2,Arsenal,"21,048",Turf Moor,Chris Kavanagh,/en/matches/a6b40849/Burnley-Arsenal-February-2-2020-Premier-League,0,0,4-4-2,4-2-3-1,8.0,11.0,5.0,7.0,38.0,21.0,496.0,620.0,20.0,17.0,7.0,8.0,22.0,18.0,20.0,29.0,4.0,1.0,8.0,12.0,25.0,20.0,77.0,68.0,1.0,0.0,0.0,3.0,0.0,0.0,Nick Pope,Matthew Lowton,Charlie Taylor,Jack Cork,James Tarkowski,Ben Mee,Chris Wood,Dwight McNeil,Jeff Hendrick,Ashley Westwood,Jay Rodriguez,Joe Hart,Robbie Brady,Erik Pieters,Aaron Lennon,Phil Bardsley,Matěj Vydra,Bernd Leno,Héctor Bellerín,Alexandre Lacazette,Mesut Özil,Pierre-Emerick Aubameyang,Shkodran Mustafi,David Luiz,Mattéo Guendouzi,Granit Xhaka,Gabriel Martinelli,Bukayo Saka,Emiliano Martínez,Sokratis Papastathopoulos,Dani Ceballos,Lucas Torreira,Nicolas Pépé,Joe Willock,nan,nan,nan,nan
249,249,25,Sun,2020-02-02,16:30,Tottenham,0.3,2.4,Manchester City,"61,022",Tottenham Hotspur Stadium,Mike Dean,/en/matches/e98d8736/Tottenham-Hotspur-Manchester-City-February-2-2020-Premier-League,2,0,4-2-3-1,4-3-3,8.0,14.0,2.0,6.0,6.0,24.0,492.0,838.0,21.0,15.0,12.0,12.0,8.0,13.0,32.0,14.0,2.0,0.0,7.0,1.0,11.0,18.0,59.0,53.0,2.0,0.0,0.0,5.0,0.0,1.0,Hugo Lloris,Toby Alderweireld,Davinson Sánchez,Son Heung-min,Harry Winks,Giovani Lo Celso,Dele Alli,Steven Bergwijn,Serge Aurier,Lucas Moura,Japhet Tanganga,Paulo Gazzaniga,Jan Vertonghen,Érik Lamela,Eric Dier,Ryan Sessegnon,Tanguy Ndombele,Ederson,Kyle Walker,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Oleksandr Zinchenko,Rodri,Kevin De Bruyne,Fernandinho,Riyad Mahrez,Nicolás Otamendi,Claudio Bravo,Gabriel Jesus,Bernardo Silva,David Silva,João Cancelo,Phil Foden,nan,nan,nan,nan
