,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away
0,0,1,Fri,2021-08-13,20:00,Brentford,1.2,1.3,Arsenal,"16,479",Brentford Community Stadium,Michael Oliver,/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,2,0,3-5-2,4-2-3-1,12.0,8.0,2.0,5.0,9.0,22.0,455.0,742.0,20.0,9.0,9.0,7.0,17.0,20.0,22.0,15.0,1.0,1.0,16.0,8.0,19.0,26.0,83.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,David Raya,Rico Henry,Ethan Pinnock,Christian Nørgaard,Sergi Canós,Frank Onyeka,Ivan Toney,Pontus Jansson,Bryan Mbeumo,Kristoffer Ajer,Vitaly Janelt,Patrik Gunnarsson,Charlie Goode,Marcus Forss,Yoane Wissa,Saman Ghoddos,Halil Dervişoğlu,Mads Bidstrup,Mads Bech Sørensen,Bernd Leno,Kieran Tierney,Ben White,Emile Smith Rowe,Nicolas Pépé,Calum Chambers,Pablo Marí,Albert Sambi Lokonga,Folarin Balogun,Granit Xhaka,Gabriel Martinelli,Karl Jakob Hein,Héctor Bellerín,Bukayo Saka,Ainsley Maitland-Niles,Rob Holding,Cédric Soares,Nuno Tavares,Reiss Nelson
1,1,1,Sat,2021-08-14,12:30,Manchester Utd,1.5,0.5,Leeds United,"72,732",Old Trafford,Paul Tierney,/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League,5,1,4-2-3-1,4-1-4-1,11.0,9.0,5.0,4.0,11.0,14.0,568.0,584.0,6.0,23.0,8.0,14.0,11.0,9.0,16.0,12.0,2.0,3.0,12.0,10.0,27.0,17.0,57.0,70.0,1.0,0.0,0.0,2.0,0.0,0.0,David de Gea,Victor Lindelöf,Harry Maguire,Paul Pogba,Mason Greenwood,Fred,Bruno Fernandes,Daniel James,Luke Shaw,Aaron Wan-Bissaka,Scott McTominay,Tom Heaton,Juan Mata,Anthony Martial,Andreas Pereira,Diogo Dalot,Jadon Sancho,Nemanja Matić,Brandon Williams,Illan Meslier,Luke Ayling,Robin Koch,Liam Cooper,Patrick Bamford,Raphinha,Stuart Dallas,Rodrigo,Pascal Struijk,Jack Harrison,Mateusz Klich,Kristoffer Klaesson,Junior Firpo,Adam Forshaw,Tyler Roberts,Hélder Costa,Kalvin Phillips,Crysencio Summerville,Sam Greenwood
2,2,1,Sat,2021-08-14,15:00,Leicester City,0.5,1.3,Wolves,"31,983",King Power Stadium,Craig Pawson,/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League,1,0,4-2-3-1,3-4-3,6.0,10.0,5.0,4.0,7.0,16.0,752.0,608.0,15.0,20.0,11.0,13.0,10.0,12.0,17.0,16.0,5.0,4.0,8.0,3.0,26.0,21.0,40.0,68.0,1.0,0.0,0.0,2.0,0.0,0.0,Kasper Schmeichel,Çağlar Söyüncü,Harvey Barnes,Youri Tielemans,Jamie Vardy,James Maddison,Ayoze Pérez,Daniel Amartey,Ricardo Pereira,Wilfred Ndidi,Luke Thomas,Danny Ward,Marc Albrighton,Kelechi Iheanacho,Hamza Choudhury,Kiernan Dewsbury-Hall,Jannik Vestergaard,Dennis Praet,Patson Daka,José Sá,Ki-Jana Hoever,Fernando Marçal,Rúben Neves,Raúl Jiménez,Francisco Trincão,Conor Coady,Max Kilman,Romain Saïss,João Moutinho,Adama Traoré,John Ruddy,Rayan Aït Nouri,Fábio Silva,Morgan Gibbs-White,Nélson Semedo,Leander Dendoncker,Luke Cundle,Christian Marques
3,3,1,Sat,2021-08-14,15:00,Burnley,1.5,1.0,Brighton,"16,910",Turf Moor,David Coote,/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,1,2,4-4-2,4-1-4-1,10.0,7.0,7.0,6.0,36.0,14.0,428.0,670.0,16.0,16.0,10.0,6.0,26.0,20.0,14.0,30.0,1.0,0.0,4.0,8.0,24.0,24.0,68.0,87.0,2.0,0.0,0.0,1.0,0.0,0.0,Nick Pope,Matthew Lowton,Charlie Taylor,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Dwight McNeil,Ashley Westwood,Jay Rodriguez,Wayne Hennessey,Josh Brownhill,Ashley Barnes,Nathan Collins,Erik Pieters,Phil Bardsley,Matěj Vydra,Bobby Thomas,Robert Sánchez,Adam Webster,Lewis Dunk,Yves Bissouma,Neal Maupay,Leandro Trossard,Enock Mwepu,Pascal Groß,Steven Alzate,Solly March,Shane Duffy,Jason Steele,Michał Karbownik,Alexis Mac Allister,Adam Lallana,Jakub Moder,Andi Zeqiri,Florin Andone,Moisés Caicedo
4,4,1,Sat,2021-08-14,15:00,Chelsea,0.7,0.2,Crystal Palace,"38,965",Stamford Bridge,Jonathan Moss,/en/matches/6f454493/Chelsea-Crystal-Palace-August-14-2021-Premier-League,3,0,3-4-3,4-4-2,15.0,11.0,5.0,2.0,22.0,5.0,802.0,547.0,21.0,11.0,11.0,9.0,6.0,14.0,9.0,26.0,0.0,1.0,5.0,9.0,17.0,14.0,64.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,Edouard Mendy,Antonio Rüdiger,Marcos Alonso,Andreas Christensen,Jorginho,Mateo Kovačić,Christian Pulisic,Timo Werner,Trevoh Chalobah,Mason Mount,César Azpilicueta,Kepa Arrizabalaga,Thiago Silva,Tammy Abraham,Kurt Zouma,Callum Hudson-Odoi,Ben Chilwell,Reece James,Kai Havertz,Vicente Guaita,Joel Ward,Tyrick Mitchell,Marc Guéhi,Cheikhou Kouyaté,Jordan Ayew,Wilfried Zaha,Jean-Philippe Mateta,Jeffrey Schlupp,James McArthur,Jaïro Riedewald,Jack Butland,Joachim Andersen,Nathaniel Clyne,Christian Benteke,Martin Kelly,Scott Banks,Reece Hannam,Robert Street
5,5,1,Sat,2021-08-14,15:00,Watford,1.2,1.2,Aston Villa,"20,051",Vicarage Road Stadium,Mike Dean,/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,3,2,4-1-4-1,4-2-3-1,18.0,13.0,2.0,4.0,8.0,26.0,453.0,653.0,15.0,13.0,9.0,11.0,24.0,17.0,25.0,6.0,0.0,2.0,8.0,7.0,17.0,21.0,70.0,67.0,3.0,0.0,0.0,1.0,0.0,0.0,Daniel Bachmann,Oghenekaro Etebo,William Troost-Ekong,Tom Cleverley,Adam Masina,Ken Sema,Craig Cathcart,Ismaila Sarr,Emmanuel Dennis,Christian Kabasele,Juraj Kucka,Ben Foster,Jeremy Ngakia,Danny Rose,Imran Louza,Troy Deeney,Dan Gosling,Ashley Fletcher,Cucho,Emiliano Martínez,Matty Cash,Matt Targett,Ezri Konsa,Tyrone Mings,John McGinn,Emi Buendía,Ashley Young,Marvelous Nakamba,Danny Ings,Anwar El Ghazi,Jed Steer,Wesley Moraes,Bertrand Traoré,Axel Tuanzebe,Kortney Hause,Leon Bailey,Jaden Philogene Bidace,Carney Chukwuemeka
6,6,1,Sat,2021-08-14,15:00,Everton,2.4,0.8,Southampton,"38,487",Goodison Park,Andy Madley,/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,3,1,4-2-3-1,4-4-2,13.0,15.0,6.0,8.0,25.0,22.0,530.0,539.0,23.0,21.0,6.0,5.0,24.0,19.0,25.0,22.0,0.0,0.0,4.0,10.0,28.0,26.0,85.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,Jordan Pickford,Mason Holgate,Michael Keane,Allan,Richarlison,Dominic Calvert-Lewin,Demarai Gray,Lucas Digne,Andros Townsend,Abdoulaye Doucouré,Séamus Coleman,Asmir Begović,Jonjoe Kenny,Fabian Delph,Yerry Mina,Alex Iwobi,Anthony Gordon,Tom Davies,Jarrad Branthwaite,Alex McCarthy,Jack Stephens,Oriol Romeu,James Ward-Prowse,Adam Armstrong,Che Adams,Romain Perraud,Moussa Djenepo,Valentino Livramento,Mohammed Salisu,Theo Walcott,Fraser Forster,Kyle Walker-Peters,Nathan Redmond,Stuart Armstrong,Nathan Tella,Mohamed Elyounoussi,Ibrahima Diallo,Jan Bednarek
7,7,1,Sat,2021-08-14,17:30,Norwich City,1.4,1.6,Liverpool,"27,023",Carrow Road,Andre Marriner,/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,0,3,4-3-3,4-3-3,4.0,14.0,3.0,11.0,19.0,25.0,689.0,666.0,19.0,16.0,9.0,5.0,8.0,14.0,36.0,17.0,2.0,0.0,8.0,8.0,17.0,19.0,76.0,56.0,1.0,0.0,0.0,1.0,0.0,0.0,Tim Krul,Max Aarons,Ben Gibson,Grant Hanley,Lukas Rupp,Billy Gilmour,Todd Cantwell,Milot Rashica,Pierre Lees-Melou,Teemu Pukki,Dimitris Giannoulis,Angus Gunn,Christoph Zimmermann,Kieran Dowell,Christos Tzolis,Jakob Sørensen,Kenny McLean,Josh Sargent,Bali Mumba,Alisson,Virgil van Dijk,James Milner,Naby Keïta,Sadio Mané,Mohamed Salah,Alex Oxlade-Chamberlain,Diogo Jota,Kostas Tsimikas,Joël Matip,Trent Alexander-Arnold,Caoimhín Kelleher,Fabinho,Ibrahima Konaté,Roberto Firmino,Joe Gomez,Takumi Minamino,Divock Origi,Ben Woodburn
8,8,1,Sun,2021-08-15,14:00,Newcastle Utd,1.8,2.7,West Ham,"50,673",St. James' Park,Martin Atkinson,/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,2,4,5-3-2,4-2-3-1,4.0,3.0,7.0,6.0,27.0,23.0,558.0,627.0,8.0,23.0,9.0,7.0,12.0,20.0,25.0,21.0,1.0,2.0,10.0,12.0,16.0,21.0,62.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,Freddie Woodman,Ciaran Clark,Jonjo Shelvey,Callum Wilson,Allan Saint-Maximin,Matt Ritchie,Isaac Hayden,Emil Krafth,Federico Fernández,Jacob Murphy,Miguel Almirón,Mark Gillespie,Fabian Schär,Jamaal Lascelles,Joelinton,Jamal Lewis,Jeff Hendrick,Ryan Fraser,Dwight Gayle,Łukasz Fabiański,Aaron Cresswell,Vladimír Coufal,Pablo Fornals,Michail Antonio,Craig Dawson,Jarrod Bowen,Angelo Ogbonna,Saïd Benrahma,Tomáš Souček,Declan Rice,Alphonse Areola,Andriy Yarmolenko,Manuel Lanzini,Mark Noble,Issa Diop,Ryan Fredericks,Ben Johnson,Conor Coventry
9,9,1,Sun,2021-08-15,16:30,Tottenham,1.0,1.8,Manchester City,"58,262",Tottenham Hotspur Stadium,Anthony Taylor,/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,1,0,4-3-3,4-3-3,11.0,8.0,3.0,11.0,12.0,30.0,450.0,690.0,15.0,16.0,10.0,3.0,14.0,19.0,27.0,11.0,3.0,1.0,10.0,6.0,17.0,17.0,58.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,Hugo Lloris,Sergio Reguilón,Pierre Højbjerg,Davinson Sánchez,Son Heung-min,Eric Dier,Dele Alli,Steven Bergwijn,Japhet Tanganga,Lucas Moura,Oliver Skipp,Pierluigi Gollini,Matt Doherty,Cristian Romero,Harry Winks,Bryan Gil,Moussa Sissoko,Giovani Lo Celso,Ben Davies,Ederson,Rúben Dias,Nathan Aké,Raheem Sterling,İlkay Gündoğan,Jack Grealish,Ferrán Torres,Benjamin Mendy,Fernandinho,Riyad Mahrez,João Cancelo,Zack Steffen,Kyle Walker,John Stones,Gabriel Jesus,Oleksandr Zinchenko,Aymeric Laporte,Rodri,Kevin De Bruyne
10,10,2,Sat,2021-08-21,12:30,Liverpool,2.7,0.9,Burnley,"52,591",Anfield,Mike Dean,/en/matches/94d9dac0/Liverpool-Burnley-August-21-2021-Premier-League,2,0,4-3-3,4-4-2,6.0,12.0,8.0,4.0,28.0,19.0,702.0,429.0,14.0,18.0,5.0,11.0,24.0,24.0,24.0,23.0,3.0,7.0,6.0,13.0,21.0,27.0,72.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Alisson,Virgil van Dijk,Naby Keïta,Sadio Mané,Mohamed Salah,Jordan Henderson,Diogo Jota,Kostas Tsimikas,Joël Matip,Trent Alexander-Arnold,Harvey Elliott,Adrián,Caoimhín Kelleher,Ibrahima Konaté,Thiago Alcántara,Roberto Firmino,Joe Gomez,Curtis Jones,Takumi Minamino,Nick Pope,Matthew Lowton,Charlie Taylor,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Josh Brownhill,Chris Wood,Ashley Barnes,Dwight McNeil,Wayne Hennessey,Will Norris,Jay Rodriguez,Nathan Collins,Erik Pieters,Phil Bardsley,Bobby Thomas,Lewis Richardson
