,Matchday,home,xG_home,xG_away,away,goals_home,goals_away,dif,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,result,home_Points,away_Points,B365H,B365D,B365A,Yellows_scored_home_MA5,Yellows_conceeded_home_MA5,Reds_scored_home_MA5,Reds_conceeded_home_MA5,Yellow_Reds_scored_home_MA5,Yellow_Reds_conceeded_home_MA5,Fouls_scored_home_MA5,Fouls_conceeded_home_MA5,Goals_scored_home_MA5,Goals_conceeded_home_MA5,Shoots_scored_home_MA5,Shoots_conceeded_home_MA5,SOT_scored_home_MA5,SOT_conceeded_home_MA5,Corners_scored_home_MA5,Corners_conceeded_home_MA5,Crosses_scored_home_MA5,Crosses_conceeded_home_MA5,Touches_scored_home_MA5,Touches_conceeded_home_MA5,Interceptions_scored_home_MA5,Interceptions_conceeded_home_MA5,Tackles_scored_home_MA5,Tackles_conceeded_home_MA5,Clearances_scored_home_MA5,Clearances_conceeded_home_MA5,Offsides_scored_home_MA5,Offsides_conceeded_home_MA5,Long Balls_scored_home_MA5,Long Balls_conceeded_home_MA5,Yellows_scored_away_MA5,Yellows_conceeded_away_MA5,Reds_scored_away_MA5,Reds_conceeded_away_MA5,Yellow_Reds_scored_away_MA5,Yellow_Reds_conceeded_away_MA5,Fouls_scored_away_MA5,Fouls_conceeded_away_MA5,Goals_scored_away_MA5,Goals_conceeded_away_MA5,Shoots_scored_away_MA5,Shoots_conceeded_away_MA5,SOT_scored_away_MA5,SOT_conceeded_away_MA5,Corners_scored_away_MA5,Corners_conceeded_away_MA5,Crosses_scored_away_MA5,Crosses_conceeded_away_MA5,Touches_scored_away_MA5,Touches_conceeded_away_MA5,Interceptions_scored_away_MA5,Interceptions_conceeded_away_MA5,Tackles_scored_away_MA5,Tackles_conceeded_away_MA5,Clearances_scored_away_MA5,Clearances_conceeded_away_MA5,Offsides_scored_away_MA5,Offsides_conceeded_away_MA5,Long Balls_scored_away_MA5,Long Balls_conceeded_away_MA5,Points_total_home_MA5,Points_total_away_MA5,Points_total_home_MA17,Points_total_away_MA17,Points_total_home_MA34,Points_total_away_MA34,season
60,7,West Ham,1.4,0.7,Man Utd,3,1,2,12.0,12.0,4.0,9.0,17.0,35.0,0,3.0,0.0,6.0,4.5,1.57,3.6,1.4,0.0,0.0,0.0,0.0,12.0,12.2,1.0,1.4,10.4,15.4,3.6,6.2,3.0,5.4,14.4,19.6,550.2,668.8,13.0,8.4,19.6,16.2,27.8,20.0,1.2,1.8,69.8,63.0,2.0,1.8,0.2,0.0,0.2,0.0,10.6,13.0,1.4,1.6,15.4,6.8,4.4,1.2,5.6,3.4,21.0,14.4,706.4,524.6,7.2,12.6,11.2,20.2,22.4,27.0,2.4,1.6,81.4,76.4,0.8,1.4,,,,,2019
61,7,Newcastle,0.4,1.3,Leicester,0,2,-2,11.0,5.0,5.0,9.0,14.0,23.0,2,0.0,3.0,2.6,3.3,3.0,1.2,0.8,0.2,0.0,0.0,0.0,13.8,9.2,0.6,1.2,6.2,15.8,3.0,3.6,4.8,5.4,14.2,20.6,431.6,774.2,14.0,7.6,19.2,18.4,31.8,24.0,1.4,1.8,78.0,68.6,2.4,2.0,0.2,0.0,0.2,0.2,11.0,12.4,2.0,1.6,11.6,10.2,5.6,3.8,3.4,5.6,17.6,17.6,622.8,581.0,10.8,10.6,20.8,15.4,33.4,19.0,1.4,1.0,68.6,74.4,0.4,1.8,,,,,2019
62,7,Everton,2.3,0.5,Fulham,3,0,3,13.0,13.0,12.0,1.0,30.0,8.0,0,3.0,0.0,1.75,4.2,4.75,1.8,3.0,0.2,0.2,0.0,0.0,11.6,15.0,1.2,1.8,12.0,11.8,4.2,4.8,4.2,4.2,20.4,15.6,575.8,551.0,12.4,12.4,19.2,19.2,24.4,24.0,1.6,1.8,72.6,80.6,1.4,1.0,0.0,0.0,0.0,0.0,9.6,9.0,1.6,2.2,13.8,18.2,5.2,6.6,4.2,6.8,14.0,25.8,644.8,631.8,10.6,14.2,12.8,15.4,30.8,16.6,3.0,3.8,74.8,82.8,1.0,1.0,,,,,2019
63,7,Wolves,1.6,0.8,Southampton,2,0,2,11.0,7.0,8.0,6.0,15.0,18.0,0,3.0,0.0,1.8,3.6,5.25,1.2,2.2,0.0,0.2,0.0,0.0,11.8,8.4,0.8,0.8,13.8,13.2,3.8,3.8,6.0,4.2,18.4,19.2,594.6,664.8,11.8,9.2,17.6,17.6,25.4,21.8,1.6,1.6,76.0,67.4,2.6,1.0,0.0,0.0,0.2,0.0,13.0,10.0,1.2,1.8,13.2,13.0,4.2,5.2,4.8,4.2,18.6,17.8,577.4,649.0,14.4,10.8,16.8,15.8,25.4,24.4,1.6,1.6,85.0,73.6,1.6,0.8,,,,,2019
64,7,Arsenal,1.4,2.8,Watford,2,0,2,11.0,17.0,6.0,6.0,22.0,27.0,0,3.0,0.0,1.44,5.1,7.0,1.8,1.4,0.0,0.0,0.0,0.0,13.4,12.4,2.4,1.4,14.0,12.8,6.8,5.4,5.2,5.8,16.4,20.0,702.6,540.0,9.0,13.6,14.8,16.4,26.2,24.2,1.8,2.8,72.2,66.0,2.2,1.8,0.0,0.0,0.0,0.2,12.0,9.8,1.8,1.2,10.0,10.6,4.4,3.0,5.0,6.8,16.6,24.0,503.2,662.4,16.0,9.6,19.0,16.4,32.0,27.6,3.0,3.2,87.2,90.2,2.4,2.0,,,,,2019
65,7,Man City,2.7,0.2,Brighton,2,0,2,4.0,10.0,10.0,3.0,29.0,8.0,0,3.0,0.0,1.1,12.0,34.0,0.6,0.8,0.0,0.0,0.0,0.0,6.6,8.6,3.4,0.6,24.6,6.0,9.4,2.0,8.4,2.6,23.6,9.6,892.8,402.4,8.2,12.8,10.2,16.6,15.2,31.2,2.4,2.0,53.8,67.4,2.0,1.6,0.0,0.0,0.0,0.0,14.0,10.8,1.6,1.8,9.4,14.4,3.4,5.6,4.8,4.4,17.0,15.8,485.8,749.6,16.6,11.2,18.6,15.8,21.8,17.6,2.2,1.8,77.2,66.2,2.6,1.0,,,,,2019
66,7,Huddersfield,0.4,2.1,Tottenham,0,2,-2,17.0,16.0,3.0,0.0,20.0,8.0,2,0.0,3.0,8.5,4.5,1.44,1.4,1.6,0.2,0.0,0.0,0.0,10.6,11.8,0.6,2.2,8.6,16.4,2.4,5.8,3.8,5.4,20.4,16.6,507.4,650.8,9.4,9.0,17.6,15.0,19.6,30.6,1.4,1.2,84.4,69.4,1.0,1.2,0.0,0.0,0.0,0.0,11.8,11.2,2.0,1.2,14.4,10.6,4.6,4.2,5.8,3.8,18.4,13.6,701.0,518.6,12.2,12.0,16.6,13.8,17.0,30.4,1.4,2.2,75.6,76.0,0.4,1.8,,,,,2019
67,7,Chelsea,1.1,1.6,Liverpool,1,1,0,7.0,9.0,4.0,4.0,12.0,20.0,1,1.0,1.0,2.8,3.6,2.54,0.8,1.8,0.0,0.0,0.0,0.0,9.4,10.6,2.2,0.8,19.6,8.2,6.6,2.4,6.0,3.2,21.2,13.0,908.4,437.6,6.8,16.2,12.6,16.8,17.0,32.6,2.0,1.6,57.2,69.2,0.8,1.4,0.0,0.2,0.0,0.0,11.2,11.2,2.0,0.4,15.4,8.8,6.4,2.6,5.6,4.8,15.6,14.0,740.8,591.8,8.4,14.2,19.0,17.4,18.0,28.0,2.2,2.4,64.4,72.8,2.6,3.0,,,,,2019
68,7,Cardiff,1.7,0.3,Burnley,1,2,-1,11.0,15.0,10.0,2.0,31.0,8.0,2,0.0,3.0,2.62,3.0,3.2,1.4,1.4,0.0,0.4,0.0,0.0,10.4,10.0,0.6,2.4,9.6,14.6,2.4,7.0,4.0,7.0,14.8,18.8,407.8,721.4,15.4,8.6,16.4,11.8,30.6,20.6,1.6,0.6,77.6,73.0,2.0,1.8,0.0,0.2,0.0,0.0,9.8,11.8,1.4,2.0,9.2,21.4,2.6,7.6,3.2,5.8,22.8,18.2,545.2,669.0,10.8,8.0,16.0,10.8,25.2,28.4,2.0,1.8,94.4,82.6,0.4,0.6,,,,,2019
69,7,Bournemouth,1.8,0.4,Crystal Palace,2,1,1,9.0,12.0,3.0,3.0,13.0,16.0,0,3.0,0.0,2.25,3.5,3.4,1.4,3.4,0.2,0.2,0.0,0.2,9.6,13.2,1.6,2.2,13.2,14.4,4.2,5.4,5.6,4.8,16.6,22.2,545.2,632.0,8.2,11.8,12.4,17.8,29.4,27.2,1.8,1.2,60.8,81.6,1.4,1.6,0.2,0.0,0.0,0.0,10.6,12.2,0.4,1.2,12.0,13.8,3.4,4.4,5.6,5.4,16.0,21.6,579.8,602.8,9.6,12.0,18.2,21.8,25.6,23.8,1.8,2.0,75.2,85.0,1.4,0.8,,,,,2019
